Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,0-300,Indicated,380
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,0-300,Inferred,45
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,0-300,Proved,127
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,300-600,Indicated,463
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,300-600,Inferred,106
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,300-600,Proved,125
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,600-1200,Indicated,58
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,600-1200,Inferred,274
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Godavari Valley,Non-Coking,600-1200,Proved,669
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Miao Bum,High Sulphur,0-300,Indicated,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Miao Bum,High Sulphur,0-300,Inferred,6
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Miao Bum,High Sulphur,0-300,Proved,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Namchik-Namphuk,High Sulphur,0-300,Indicated,40
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Namchik-Namphuk,High Sulphur,0-300,Inferred,13
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Namchik-Namphuk,High Sulphur,0-300,Proved,31
India,Assam,"Financial Year (Apr - Mar), 2021",Dilli-Jeypore,High Sulphur,0-300,Indicated,22
India,Assam,"Financial Year (Apr - Mar), 2021",Dilli-Jeypore,High Sulphur,0-300,Inferred,0
India,Assam,"Financial Year (Apr - Mar), 2021",Dilli-Jeypore,High Sulphur,0-300,Proved,32
India,Assam,"Financial Year (Apr - Mar), 2021",Makum,High Sulphur,0-300,Indicated,5
India,Assam,"Financial Year (Apr - Mar), 2021",Makum,High Sulphur,0-300,Inferred,0
India,Assam,"Financial Year (Apr - Mar), 2021",Makum,High Sulphur,0-300,Proved,246
