Country,State,Year,Coal Category,Coal Supplying Company Name,Coal Supplyling Sector,Coal Type,"Coal Supplied (UOM:t(Tonne)), Scaling Factor:1000000"
India,Assam,"Financial Year (Apr - Mar), 2020",COAL,NEC,CIL,COOKING,0
India,Assam,"Financial Year (Apr - Mar), 2020",COAL,NEC,CIL,NON-COOKING,0.517
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,AMBUJA,PRIVATE,COOKING,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,AMBUJA,PRIVATE,NON-COOKING,0.4
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,BALCO,PRIVATE,COOKING,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,BALCO,PRIVATE,NON-COOKING,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,CSPGCL,OTHER PUBLIC,COOKING,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,CSPGCL,OTHER PUBLIC,NON-COOKING,0.509
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,HIL,PRIVATE,COOKING,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,HIL,PRIVATE,NON-COOKING,0.674
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,NTPC,OTHER PUBLIC,COOKING,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,NTPC,OTHER PUBLIC,NON-COOKING,0.19
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,RRVUNL,OTHER PUBLIC,COOKING,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,RRVUNL,OTHER PUBLIC,NON-COOKING,15
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,SECL,CIL,COOKING,0.25
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",COAL,SECL,CIL,NON-COOKING,139.721
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,GHCL,PRIVATE,LIGNITE,0.083
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,GIPCL,OTHER PUBLIC,LIGNITE,3.342
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,6.957
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",COAL,JKML,OTHER PUBLIC,COOKING,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",COAL,JKML,OTHER PUBLIC,NON-COOKING,0.0136937760406865
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,BCCL,CIL,COOKING,25.801
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,BCCL,CIL,NON-COOKING,1.783
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,CCL,CIL,COOKING,20.027
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,CCL,CIL,NON-COOKING,46.862
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,DVC,OTHER PUBLIC,COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,DVC,OTHER PUBLIC,NON-COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,ECL,CIL,COOKING,0.026
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,ECL,CIL,NON-COOKING,21.21
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,HIL,PRIVATE,COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,HIL,PRIVATE,NON-COOKING,0.055
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.3
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,JSMDCL,OTHER PUBLIC,COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,JSMDCL,OTHER PUBLIC,NON-COOKING,0.068
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,NTPC,OTHER PUBLIC,COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,NTPC,OTHER PUBLIC,NON-COOKING,9.421
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,SAIL,OTHER PUBLIC,COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,SAIL,OTHER PUBLIC,NON-COOKING,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,TISCO/TSL,PRIVATE,COOKING,6.21
India,Jharkhand,"Financial Year (Apr - Mar), 2020",COAL,TISCO/TSL,PRIVATE,NON-COOKING,0
India,Ladakh,"Financial Year (Apr - Mar), 2020",COAL,JKML,OTHER PUBLIC,COOKING,0
India,Ladakh,"Financial Year (Apr - Mar), 2020",COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000306223959313531
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,JPVL,PRIVATE,COOKING,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,JPVL,PRIVATE,NON-COOKING,2.8
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,NCL,CIL,COOKING,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,NCL,CIL,NON-COOKING,90.023
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,RCCPL,PRIVATE,COOKING,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,RCCPL,PRIVATE,NON-COOKING,0.182
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,SECL,CIL,COOKING,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,SECL,CIL,NON-COOKING,10.575
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,SPL,PRIVATE,COOKING,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,SPL,PRIVATE,NON-COOKING,18.7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,WCL,CIL,COOKING,0.178
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",COAL,WCL,CIL,NON-COOKING,3.268
India,Maharashtra,"Financial Year (Apr - Mar), 2020",COAL,SIL,PRIVATE,COOKING,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",COAL,SIL,PRIVATE,NON-COOKING,0.27
India,Maharashtra,"Financial Year (Apr - Mar), 2020",COAL,TUML,PRIVATE,COOKING,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",COAL,TUML,PRIVATE,NON-COOKING,0.286
India,Maharashtra,"Financial Year (Apr - Mar), 2020",COAL,WCL,CIL,COOKING,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",COAL,WCL,CIL,NON-COOKING,54.19
India,Odisha,"Financial Year (Apr - Mar), 2020",COAL,GMR,PRIVATE,COOKING,0
India,Odisha,"Financial Year (Apr - Mar), 2020",COAL,GMR,PRIVATE,NON-COOKING,0
India,Odisha,"Financial Year (Apr - Mar), 2020",COAL,MCL,CIL,COOKING,0
India,Odisha,"Financial Year (Apr - Mar), 2020",COAL,MCL,CIL,NON-COOKING,140.358
India,Odisha,"Financial Year (Apr - Mar), 2020",COAL,NTPC,OTHER PUBLIC,COOKING,0
