Country,State,Year,Types Of Coal,Coal Consuming Sectors,"Coal Consumed (UOM:t(Tonne)), Scaling Factor:1000000"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.214
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.089
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.621
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.022
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),34.288
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.137
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.035
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.289
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.037
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.064
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),1.997
India,Bihar,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.641
India,Bihar,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),21.183
India,Bihar,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.539
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.082
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,2.252
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.01
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.075
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,5.194
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),75.632
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,5.338
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.118
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.192
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,BRICKS,0.454
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,CEMENT,0.144
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,CHEMICAL,0.298
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,FERTILISERS,0.002
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER,2.794
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,POWER (CAPTIVE),6.087
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,PULP & PAPER,0.438
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,SPONGE IRON,0.014
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,TEXTILES & RAYONS,0.122
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.298
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,1.168
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),16.169
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.072
India,Haryana,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.006
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.368
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.001
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),11.379
India,Haryana,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.428
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.027
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.004
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.00784808425629813
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.00981010532037267
India,Jharkhand,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),2.647
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,BRICKS,0.024
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.08
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,COKERIES,0.513
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.015
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,5.668
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,3.705
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),29.981
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.525
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,STEEL (BOILERS),0.234
India,Jharkhand,"Financial Year (Apr - Mar), 2020",WASHED COAL,COKERIES,1.526
India,Jharkhand,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.179
India,Jharkhand,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),3.154
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.635
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.003
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.033
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),12.224
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.1
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.012
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,TEXTILES & RAYONS,0.068
India,Kerala,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.036
India,Ladakh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.000151915743701868
India,Ladakh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.000189894679627335
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,1.521
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,COKERIES,0.046
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.001
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.008
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,2.629
